session_name,session_id,query_number,query_text,query_length_chars,query_length_words,timestamp,event_id,invocation_id,response_time_seconds,has_response_time,response_time_category,rag_queries_triggered,rag_success,rag_quality,rag_response_total_length,is_urgent,urgency_score,urgency_level,escalation_risk,urgency_patterns_detected,urgency_keywords,sentiment_negative_keywords,sentiment_urgency_keywords,sentiment_escalation_keywords,consistent_with_sentiment_analyzer,has_customer_id,customer_ids,has_contextual_reference,query_type
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,1,problema de conexión base de datos postgresql,45,7,2025-08-18 23:30:27.936470985,8f618cc0-bc0c-4ca1-8854-a4455ecf2caf,e-ee0bd9fd-33d0-4f66-b1a0-7257b208b879,15.986078977584839,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,2,error timeout servidor web nginx,32,5,2025-08-18 23:31:51.195031881,63be7ad1-7537-4aad-8ec9-ef9061ddbaf7,e-04648a3d-ac87-4834-9376-b1892dbc01b3,6.04229211807251,True,slow,1,True,good,449,True,4,high,medium,2,,1,0,0,True,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,3,fallo autenticación LDAP directorio activo,42,5,2025-08-18 23:34:35.530040026,a5126f61-90d8-4dbd-9380-a5cec4e7cc42,e-81a4ef39-465e-4a63-b707-160d6f389579,11.841362953186035,True,slow,1,True,good,449,True,3,high,low,1,,0,0,0,True,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,4,servidor aplicaciones no responde puerto 8080,45,6,2025-08-18 23:36:13.492064953,05775665-17c1-487b-9c02-c5ae15703bd0,e-9ad8d849-805b-43dc-904a-64e2549fcafc,7.252346992492676,True,slow,1,True,good,449,True,3,high,low,1,,0,0,0,True,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,5,certificados SSL expirados sitio web,36,5,2025-08-18 23:37:45.269484997,b6f82309-12aa-4cfa-9313-654d8bae7140,e-442c21b2-72ba-4bb1-86a1-296348abc31b,7.758527994155884,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,6,error 502 bad gateway reverse proxy,35,6,2025-08-18 23:38:55.021459103,a07a262b-0d43-4100-bb5e-6a811fd033f5,e-1b180d7e-4f52-40e5-9253-11ad0bebdeea,8.193537950515747,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,7,problema memoria heap java aplicación,37,5,2025-08-18 23:39:51.195744991,13cbe04f-020c-4f2f-b771-7ea2bef9fb9b,e-cf960254-7cee-4b0b-8ae6-22cbb2d4f12c,9.397597074508667,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,8,conexión rechazada mysql puerto 3306,36,5,2025-08-18 23:41:06.933624029,3591709f-8c53-411d-837f-58f07e404b3b,e-b8e0f8d8-65cf-4ac6-803a-46ede8b7c4f6,7.780086994171143,True,slow,1,True,good,449,False,0,normal,low,0,,0,0,0,False,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,9,timeout consultas lentas base datos,35,5,2025-08-18 23:42:23.647157907,e2664293-0984-4f6a-bacd-24ce164874c8,e-2ca1cdc1-e212-4175-ac51-df4b4c58d643,8.394663095474243,True,slow,1,True,good,449,True,3,high,low,1,,0,0,0,True,False,,False,initial_anonymous
session 01 eficiencia operativa-a92f0dbe-9c76-4364-86ab-a00423e05604.json,a92f0dbe-9c76-4364-86ab-a00423e05604,10,error permisos archivo configuración,36,4,2025-08-18 23:43:40.188497066,c4e4caa2-9589-45e9-bfc0-1937b4b1fe99,e-83024867-a9e1-4caf-afd8-86d3e28eca00,9.169514894485474,True,slow,1,True,good,449,True,1,normal,low,1,,1,0,0,False,False,,False,initial_anonymous
